"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 07월 20일","95.83","93.32","95.83","93.11","202.58K","3.84%"
"2021년 07월 19일","92.29","94.00","94.00","91.63","415.22K","-3.32%"
"2021년 07월 16일","95.46","97.72","97.94","95.16","134.07K","-2.76%"
"2021년 07월 15일","98.17","98.00","98.82","97.07","293.53K","3.00%"
"2021년 07월 14일","95.31","96.51","97.29","95.10","241.77K","-2.08%"
"2021년 07월 13일","97.33","99.73","99.73","97.17","248.63K","-2.27%"
"2021년 07월 12일","99.59","97.87","99.71","97.59","367.14K","4.02%"
"2021년 07월 09일","95.74","92.67","95.91","92.23","607.92K","6.64%"
"2021년 07월 08일","89.78","88.50","90.30","88.16","261.82K","0.31%"
"2021년 07월 07일","89.50","89.00","90.25","88.63","297.13K","4.07%"
"2021년 07월 06일","86.00","86.61","87.53","85.61","173.36K","1.24%"
"2021년 07월 05일","84.95","84.95","84.95","84.95","-","0.00%"
"2021년 07월 04일","84.95","84.95","84.95","84.95","-","0.00%"
"2021년 07월 03일","84.95","84.95","84.95","84.95","-","0.00%"
"2021년 07월 02일","84.95","84.23","85.14","84.00","165.28K","1.34%"
"2021년 07월 01일","83.83","84.74","84.89","83.47","94.25K","-1.33%"
"2021년 06월 30일","84.96","84.28","85.32","83.88","186.68K","2.58%"
"2021년 06월 29일","82.82","82.74","83.48","82.55","138.56K","-0.12%"
"2021년 06월 28일","82.92","83.20","83.20","82.33","138.87K","-0.64%"
"2021년 06월 25일","83.45","83.01","84.18","83.01","123.02K","0.75%"
"2021년 06월 24일","82.83","82.41","82.86","82.29","132.44K","1.20%"
"2021년 06월 23일","81.85","80.61","82.31","80.33","256.37K","2.22%"
"2021년 06월 22일","80.07","79.33","80.38","79.24","305.45K","1.07%"
"2021년 06월 21일","79.22","78.61","79.30","78.12","177.89K","0.46%"
"2021년 06월 18일","78.86","78.87","79.51","78.24","137.42K","0.45%"
"2021년 06월 17일","78.51","79.82","80.20","77.68","776.57K","-1.64%"
"2021년 06월 16일","79.82","80.10","81.15","79.56","591.42K","-2.49%"
"2021년 06월 15일","81.86","83.12","83.69","81.11","337.61K","-3.08%"
"2021년 06월 14일","84.46","84.68","85.02","84.16","165.36K","0.05%"
"2021년 06월 11일","84.42","84.26","84.60","84.06","65.26K","0.32%"
