Date,Gold
2021-09-23,1754.9
2021-09-24,1756.9
2021-09-27,1757.0
2021-09-28,1742.6
2021-09-29,1727.8
2021-09-30,1760.9
2021-10-01,1762.9
2021-10-04,1772.0
2021-10-05,1765.5
2021-10-06,1766.3
2021-10-07,1764.3
2021-10-08,1762.7
2021-10-11,1761.1
2021-10-12,1764.6
2021-10-13,1800.4
2021-10-14,1803.2
2021-10-15,1773.5
2021-10-18,1771.0
2021-10-19,1775.8
2021-10-20,1789.9
2021-10-21,1787.1
2021-10-22,1801.7
2021-10-25,1812.0
2021-10-26,1798.7
2021-10-27,1804.2
2021-10-28,1808.0
2021-10-29,1789.1
2021-11-01,1801.0
2021-11-02,1794.4
2021-11-03,1768.9
2021-11-04,1798.6
2021-11-05,1822.0
2021-11-08,1833.3
2021-11-09,1836.0
2021-11-10,1853.5
2021-11-11,1869.1
2021-11-12,1873.7
2021-11-15,1872.2
2021-11-16,1859.7
2021-11-17,1875.9
2021-11-18,1867.1
2021-11-19,1857.6
2021-11-22,1812.7
2021-11-23,1790.0
2021-11-24,1790.5
2021-11-26,1791.6
2021-11-29,1788.9
2021-11-30,1780.1
2021-12-01,1788.1
2021-12-02,1766.6
2021-12-03,1787.7
2021-12-06,1783.4
2021-12-07,1788.7
2021-12-08,1789.6
2021-12-09,1780.9
2021-12-10,1789.1
2021-12-13,1792.8
2021-12-14,1776.8
2021-12-15,1769.0
2021-12-16,1802.9
2021-12-17,1809.4
2021-12-20,1799.1
2021-12-21,1793.3
2021-12-22,1806.8
2021-12-23,1816.2
2021-12-27,1813.4
2021-12-28,1815.5
2021-12-29,1810.5
2021-12-30,1818.9
2021-12-31,1833.4
2022-01-03,1804.6
2022-01-04,1819.2
2022-01-05,1829.5
2022-01-06,1793.4
2022-01-07,1801.9
2022-01-10,1803.3
2022-01-11,1822.9
2022-01-12,1831.9
2022-01-13,1826.0
2022-01-14,1821.1
2022-01-18,1817.2
2022-01-19,1847.8
2022-01-20,1847.3
2022-01-21,1836.5
2022-01-24,1846.6
2022-01-25,1857.4
2022-01-26,1834.5
2022-01-27,1797.7
2022-01-28,1789.3
2022-01-31,1799.2
2022-02-01,1804.3
2022-02-02,1813.2
2022-02-03,1807.0
2022-02-04,1810.8
2022-02-07,1824.7
2022-02-08,1831.0
2022-02-09,1839.7
2022-02-10,1840.7
2022-02-11,1845.5
2022-02-14,1872.8
2022-02-15,1859.6
2022-02-16,1874.9
2022-02-17,1905.3
2022-02-18,1903.1
2022-02-22,1910.7
2022-02-23,1913.7
2022-02-24,1929.4
2022-02-25,1890.8
2022-02-28,1904.0
2022-03-01,1947.1
2022-03-02,1925.6
2022-03-03,1939.3
2022-03-04,1969.9
2022-03-07,1999.2
2022-03-08,2046.7
2022-03-09,1991.7
2022-03-10,2004.5
2022-03-11,1989.4
2022-03-14,1965.5
2022-03-15,1934.7
2022-03-16,1914.3
2022-03-17,1948.2
2022-03-18,1933.9
2022-03-21,1934.8
2022-03-22,1926.7
2022-03-23,1942.6
2022-03-24,1967.7
2022-03-25,1959.8
2022-03-28,1944.7
2022-03-29,1918.0
2022-03-30,1939.0
2022-03-31,1954.0
