Date,TSMC
2021-06-25,116.53
2021-06-28,119.61
2021-06-29,120.23
2021-06-30,120.16
2021-07-01,118.42
2021-07-02,118.91
2021-07-06,120.05
2021-07-07,118.25
2021-07-08,117.87
2021-07-09,120.56
2021-07-12,122.63
2021-07-13,123.9
2021-07-14,124.39
2021-07-15,117.53
2021-07-16,115.74
2021-07-19,115.35
2021-07-20,116.4
2021-07-21,117.87
2021-07-22,116.56
2021-07-23,116.79
2021-07-26,115.65
2021-07-27,113.54
2021-07-28,115.07
2021-07-29,116.15
2021-07-30,116.64
2021-08-02,116.86
2021-08-03,118.41
2021-08-04,118.74
2021-08-05,119.22
2021-08-06,118.21
2021-08-09,118.22
2021-08-10,116.36
2021-08-11,115.99
2021-08-12,115.7
2021-08-13,115.5
2021-08-16,114.63
2021-08-17,111.11
2021-08-18,110.45
2021-08-19,110.52
2021-08-20,108.12
2021-08-23,110.96
2021-08-24,112.11
2021-08-25,117.03
2021-08-26,118.1
2021-08-27,118.49
2021-08-30,118.99
2021-08-31,119.01
2021-09-01,120.46
2021-09-02,120.79
2021-09-03,123.97
2021-09-07,124.7
2021-09-08,121.89
2021-09-09,122.68
2021-09-10,122.97
2021-09-13,123.62
2021-09-14,123.09
2021-09-15,121.5
2021-09-16,120.79
2021-09-17,117.75
2021-09-20,114.7
2021-09-21,114.96
2021-09-22,115.87
2021-09-23,116.19
2021-09-24,115.64
2021-09-27,116.15
2021-09-28,111.9
2021-09-29,111.62
2021-09-30,111.65
2021-10-01,111.56
2021-10-04,109.02
2021-10-05,109.26
2021-10-06,109.34
2021-10-07,110.83
2021-10-08,110.04
2021-10-11,110.26
2021-10-12,109.2
2021-10-13,109.98
2021-10-14,112.56
2021-10-15,114.86
2021-10-18,115.34
2021-10-19,116.96
2021-10-20,115.59
2021-10-21,116.29
2021-10-22,114.23
2021-10-25,113.64
2021-10-26,114.18
2021-10-27,113.75
2021-10-28,116.01
2021-10-29,113.7
2021-11-01,114.12
2021-11-02,114.11
2021-11-03,114.01
2021-11-04,117.79
2021-11-05,117.8
2021-11-08,120.91
2021-11-09,121.78
2021-11-10,118.2
2021-11-11,118.19
2021-11-12,118.69
2021-11-15,118.12
2021-11-16,118.08
2021-11-17,119.06
2021-11-18,123.39
2021-11-19,124.26
2021-11-22,124.75
2021-11-23,121.36
2021-11-24,120.71
2021-11-26,117.09
2021-11-29,119.28
2021-11-30,117.15
2021-12-01,120.63
2021-12-02,121.7
2021-12-03,119.33
2021-12-06,119.14
2021-12-07,122.32
2021-12-08,121.8
2021-12-09,119.5
2021-12-10,119.13
2021-12-13,116.42
2021-12-14,116.29
2021-12-15,120.4
2021-12-16,116.57
2021-12-17,116.32
2021-12-20,114.94
2021-12-21,117.44
2021-12-22,121.3
2021-12-23,120.68
2021-12-27,122.7
2021-12-28,122.06
2021-12-29,121.41
2021-12-30,120.42
2021-12-31,120.31
2022-01-03,128.8
2022-01-04,133.4
2022-01-05,127.06
2022-01-06,128.47
2022-01-07,123.5
2022-01-10,125.01
2022-01-11,129.17
2022-01-12,132.23
2022-01-13,139.19
2022-01-14,140.66
2022-01-18,133.83
2022-01-19,131.01
2022-01-20,128.33
2022-01-21,124.53
2022-01-24,125.96
2022-01-25,122.48
2022-01-26,123.08
2022-01-27,116.38
2022-01-28,117.61
2022-01-31,122.63
2022-02-01,123.05
2022-02-02,124.15
2022-02-03,119.84
2022-02-04,121.02
2022-02-07,122.31
2022-02-08,123.71
2022-02-09,125.52
2022-02-10,124.71
2022-02-11,121.01
2022-02-14,119.77
2022-02-15,124.52
2022-02-16,123.6
2022-02-17,119.76
2022-02-18,119.31
2022-02-22,116.91
2022-02-23,115.9
2022-02-24,111.88
2022-02-25,111.23
2022-02-28,107.01
2022-03-01,108.05
2022-03-02,109.61
2022-03-03,108.79
2022-03-04,105.06
2022-03-07,99.29
2022-03-08,100.0
2022-03-09,104.95
2022-03-10,103.96
2022-03-11,101.41
2022-03-14,99.3
2022-03-15,102.09
2022-03-16,105.69
2022-03-17,106.49
2022-03-18,106.72
2022-03-21,106.92
2022-03-22,107.04
2022-03-23,105.35
2022-03-24,107.92
2022-03-25,106.73
2022-03-28,106.33
2022-03-29,109.25
2022-03-30,106.73
2022-03-31,104.26
