"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 11월 30일","66.18","70.04","71.22","64.43","722.48K","-5.39%"
"2021년 11월 29일","69.95","69.23","72.93","68.86","675.09K","2.64%"
"2021년 11월 26일","68.15","78.34","78.65","67.40","844.63K","-11.96%"
"2021년 11월 25일","77.41","78.38","78.65","77.28","-","-1.25%"
"2021년 11월 24일","78.39","78.48","79.23","77.98","328.85K","-0.14%"
"2021년 11월 23일","78.50","76.46","78.86","75.30","506.99K","2.28%"
"2021년 11월 22일","76.75","75.75","77.16","74.76","465.77K","0.85%"
"2021년 11월 19일","76.10","78.76","79.92","75.37","30.70K","-3.68%"
"2021년 11월 18일","79.01","78.34","79.36","77.08","83.98K","0.83%"
"2021년 11월 17일","78.36","80.54","80.69","77.69","174.47K","-2.97%"
"2021년 11월 16일","80.76","80.93","81.81","80.03","325.67K","-0.15%"
"2021년 11월 15일","80.88","80.66","81.20","79.30","343.48K","0.11%"
"2021년 11월 12일","80.79","81.21","81.62","79.78","390.30K","-0.98%"
"2021년 11월 11일","81.59","81.41","82.33","80.20","475.44K","0.31%"
"2021년 11월 10일","81.34","84.53","84.97","80.81","555.22K","-3.34%"
"2021년 11월 09일","84.15","82.16","84.63","81.78","504.83K","2.71%"
"2021년 11월 08일","81.93","81.13","82.67","81.05","393.95K","0.81%"
"2021년 11월 05일","81.27","79.37","81.80","78.96","531.05K","3.12%"
"2021년 11월 04일","78.81","80.18","83.42","78.25","701.12K","-2.54%"
"2021년 11월 03일","80.86","83.07","83.08","79.69","546.58K","-3.63%"
"2021년 11월 02일","83.91","83.87","84.41","82.92","429.61K","-0.17%"
"2021년 11월 01일","84.05","83.36","84.88","82.74","412.31K","0.57%"
