날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 01월 22일,427.13,430.73,433.84,427.13,269.26M,-0.73%
2021년 01월 21일,430.27,425.29,431.05,424.64,302.48M,1.48%
2021년 01월 20일,424.01,425.17,429.39,419.27,259.50M,0.63%
2021년 01월 19일,421.35,410.21,423.82,409.67,259.93M,2.64%
2021년 01월 18일,410.5,419.7,419.7,408.69,289.24M,-2.36%
2021년 01월 15일,420.43,430.37,436.35,420.33,279.52M,-2.19%
2021년 01월 14일,429.85,430.43,431.54,427.13,284.70M,-0.12%
2021년 01월 13일,430.38,427.98,433.27,424.97,303.67M,0.59%
2021년 01월 12일,427.87,430.8,432.04,416.29,362.36M,-0.76%
2021년 01월 11일,431.13,431.69,449.04,424.16,545.78M,0.21%
2021년 01월 08일,430.22,412.06,431.99,412.06,499.11M,4.72%
2021년 01월 07일,410.81,404,414.65,403.99,460.33M,2.17%
2021년 01월 06일,402.08,406.33,411.21,401.06,429.08M,-0.97%
2021년 01월 05일,406.03,399.79,406.03,396.43,470.87M,1.54%
2021년 01월 04일,399.88,389.5,400.78,388.88,361.89M,2.72%
2020년 12월 30일,389.29,381.21,390.04,379.14,236.86M,2.10%
2020년 12월 29일,381.27,380.34,382.31,377.04,234.72M,0.35%
2020년 12월 28일,379.93,381.51,383.84,378.44,304.33M,0.20%
2020년 12월 24일,379.18,371.67,380.29,371.67,314.37M,2.12%
2020년 12월 23일,371.32,367.02,371.93,364.72,296.02M,1.33%
2020년 12월 22일,366.43,371.08,371.91,366.43,291.11M,-1.54%
2020년 12월 21일,372.18,371.51,372.44,368.05,252.57M,0.17%
2020년 12월 18일,371.55,372.02,373.37,370.5,307.53M,-0.12%
2020년 12월 17일,372,372.12,372.6,368.07,244.58M,-0.14%
2020년 12월 16일,372.53,371.86,374.53,371.03,188.95M,0.44%
2020년 12월 15일,370.88,371.75,372.64,367.7,243.33M,-0.18%
2020년 12월 14일,371.56,372.14,374.72,370.5,284.47M,-0.18%
2020년 12월 11일,372.24,370.45,374.3,370.39,331.02M,0.78%
2020년 12월 10일,369.37,370.74,372.68,365.76,344.58M,-0.57%
2020년 12월 09일,371.47,363.77,371.64,363.77,191.95M,2.21%
2020년 12월 08일,363.45,369.73,370.11,363.41,192.37M,-1.73%
