"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 07월 27일","19.36","18.62","20.44","18.25","-","10.13%"
"2021년 07월 26일","17.58","18.67","19.39","17.53","-","2.21%"
"2021년 07월 23일","17.20","16.98","17.48","16.33","-","-2.77%"
"2021년 07월 22일","17.69","17.59","18.45","17.40","-","-1.23%"
"2021년 07월 21일","17.91","19.73","19.82","17.81","-","-9.22%"
"2021년 07월 20일","19.73","20.89","22.97","19.37","-","-12.31%"
"2021년 07월 19일","22.50","19.61","25.09","19.27","-","21.95%"
"2021년 07월 16일","18.45","16.80","18.70","16.03","-","8.47%"
"2021년 07월 15일","17.01","16.70","18.09","16.56","-","4.16%"
"2021년 07월 14일","16.33","17.34","17.51","15.95","-","-4.61%"
"2021년 07월 13일","17.12","16.39","17.23","15.94","-","5.88%"
"2021년 07월 12일","16.17","16.85","17.52","16.14","-","-0.06%"
"2021년 07월 09일","16.18","17.88","18.13","16.08","-","-14.84%"
"2021년 07월 08일","19.00","17.74","21.29","17.74","-","17.28%"
"2021년 07월 07일","16.20","16.43","17.64","16.08","-","-1.46%"
"2021년 07월 06일","16.44","15.77","17.94","15.73","-","9.09%"
"2021년 07월 02일","15.07","15.53","15.54","14.25","-","-2.65%"
"2021년 07월 01일","15.48","15.62","16.01","15.31","-","-2.21%"
"2021년 06월 30일","15.83","16.18","17.31","15.58","-","-1.19%"
"2021년 06월 29일","16.02","15.69","16.31","14.10","-","1.65%"
"2021년 06월 28일","15.76","16.07","16.46","15.39","-","0.90%"
"2021년 06월 25일","15.62","16.04","16.17","15.21","-","-2.19%"
"2021년 06월 24일","15.97","15.99","16.05","14.19","-","-2.14%"
"2021년 06월 23일","16.32","16.25","16.84","14.86","-","-2.04%"
"2021년 06월 22일","16.66","17.91","18.32","15.76","-","-6.88%"
"2021년 06월 21일","17.89","21.74","21.82","17.81","-","-13.57%"
"2021년 06월 18일","20.70","16.96","21.04","16.92","-","16.62%"
"2021년 06월 17일","17.75","18.49","19.22","16.71","-","-2.20%"
"2021년 06월 16일","18.15","16.99","19.11","16.42","-","6.64%"
"2021년 06월 15일","17.02","16.27","17.35","16.14","-","3.84%"
"2021년 06월 14일","16.39","16.04","17.04","15.04","-","4.73%"
"2021년 06월 11일","15.65","16.18","16.20","15.15","-","-2.80%"
"2021년 06월 10일","16.10","18.18","18.29","16.01","-","-10.01%"
"2021년 06월 09일","17.89","17.18","17.96","15.55","-","4.80%"
"2021년 06월 08일","17.07","16.58","17.75","15.15","-","3.96%"
"2021년 06월 07일","16.42","17.34","17.35","15.78","-","0.00%"
"2021년 06월 04일","16.42","18.09","18.42","16.18","-","-8.98%"
"2021년 06월 03일","18.04","17.73","19.27","17.45","-","3.20%"
"2021년 06월 02일","17.48","17.86","18.31","16.74","-","-2.35%"
"2021년 06월 01일","17.90","17.24","18.53","15.68","-","6.80%"
"2021년 05월 28일","16.76","16.80","16.86","15.90","-","0.12%"
"2021년 05월 27일","16.74","18.03","18.17","16.52","-","-3.57%"
"2021년 05월 26일","17.36","18.37","18.92","17.35","-","-7.86%"
"2021년 05월 25일","18.84","18.35","19.29","16.87","-","2.39%"
